#############################################################
## Roman Door - Right
#############################################################

Type

#############################################################

Sequencer		Door_Roman.txt
SequencerType		Door_Roman_Right

Graphics		player_library\G_Door_Roman_Right.geo

FadeOutStart		1200
FadeOutFinish		1300

VisSphereRadius		75.0

ShadowType		None

Selection		Capsule
CollisionType		Door
LightAsDoorOutside	1
Placement		DeadOn

#############################################################

End
