#############################################################
## Door_Warehouse_Regular.txt
#############################################################

Type

#############################################################

Sequencer		Door_Warehouse_Regular.txt
SequencerType		Door_Warehouse_Regular

Graphics		player_library\G_Door_Warehouse_Regular.geo

FadeOutStart		500
FadeOutFinish		550

GeomScale		1.0 1.0 1.0

VisSphereRadius		21.12

ShadowType		None

Selection		Capsule
CollisionType		Door
LightAsDoorOutside	0
Placement		DeadOn

#############################################################

End
