#############################################################
## Singularity.txt
#############################################################

Type

#############################################################

Sequencer	Prop_basic.txt
SequencerType	Bees

FadeOutStart	800
FadeOutFinish	800

CollisionType	None
Shadowtype	None

GeomScale	1.25 1.25 1.25

CapsuleSize	4.0 7 4.0
CapsuleOffset	0 3 0

Placement	DeadOn
Selection	Capsule

TicksToLingerAfterDeath     25
TicksToFadeAwayAfterDeath   1

#############################################################

End
