#############################################################
## Demons_Demonling.txt
#############################################################

Type

#############################################################

Sequencer	Demons_seq.txt
SequencerType	Demonling


#############################################################

GeomScale	1.0 1.0 1.0

MinimumAmbient	0.2

ShadowType	Splat
ShadowTexture	PlayerShadowCircle
ShadowQuality	High
ShadowSize	0 15 0

#############################################################

CollisionType		Capsule

CapsuleSize		3.5 4.0 3.5
CameraHeight		3.5

Pushable	1

Placement		SetBack

#############################################################

LOD1_Dist	25
LOD2_Dist	180

FadeOutStart	500
FadeOutFinish	540

#############################################################

TicksToLingerAfterDeath		90
TicksToFadeAwayAfterDeath	0

#############################################################

End
