#############################################################
## Door_Ext_ArchEnt_DoubleDoors.txt
#############################################################

Type

#############################################################

Sequencer		Door_ArchEnt_DoubleDoors.txt
SequencerType		Door_ArchEnt_DoubleDoors_Exterior

Graphics		player_library/G_Door_Ext_ArchEnt_DoubleDoors.geo

FadeOutStart		500
FadeOutFinish		550

GeomScale		1.0 1.0 1.0

VisSphereRadius		21.12

ShadowType		None

Selection		Capsule
CollisionType		Door
Placement		DeadOn
LightAsDoorOutside	1

#############################################################

End
