#########################################################
## Rikti Bomb - Spawned by Rikti Attack Shuttle
#########################################################

Type

## SEQUENCER #######################################################

Sequencer        Rikti_Bomb.txt
SequencerType    Rikti_Bomb

## GRAPHICS #######################################################

FadeOutStart     500
FadeOutFinish    550
ShadowType       None

TicksToLingerAfterDeath        150
TicksToFadeAwayAfterDeath      90

#FX		EnemyFx\Rikti\UXB\UXB_GroundCracks.fx
FX		EnemyFx\Rikti\UXB\UXB_Bomb.fx

## HEALTH FX #######################################################

#HealthFx
#	Range	66 100
#	ContinuingFX	EnemyFx\Rikti\UXB\UXB_Bomb_Red.fx
#	#OneShotFX	<fxName>
#End
#
#HealthFx
#	Range	33 66
#	ContinuingFX	EnemyFx\Rikti\UXB\UXB_Bomb_Yellow.fx
#	#OneShotFX	<fxName>
#End
#
#HealthFx
#	Range	0.001 33
#	ContinuingFX	EnemyFx\Rikti\UXB\UXB_Bomb.fx
#	#OneShotFX	<fxName>
#End
#
#HealthFx
#	Range	0.0 0.001
#	#ContinuingFX	
#	#OneShotFX	EnemyFx\Rikti\UXB\Explosion_UXB.fx
#End

## COLLISION AND PHYSICS #######################################################

Selection	Capsule
CapsuleSize	7 7 2
CapsuleOffset	0 0 -0.5
#Placement	DeadOn
#CollisionType	LibraryPiece

#########################################################

End
