######################################
## Rularuu Faathim
## 
Type

Sequencer	Faathim_Imprison.txt   	  		

Graphics	player_library/G_Rularuu_Faathim.geo	

ShadowType	None			
ShadowTexture	PlayerShadowCircle	
ShadowQuality	High		
ShadowSize	0 15 0  		

FadeOutStart	500				
FadeOutFinish	540

MinimumAmbient	0.2

GeomScale	4.0 4.0 4.0			
Selection	Capsule 

Placement         DeadOn

CapsuleSize	20.0 60.0 20.0

FX			ENEMYFX\Rularuu\Faathim\FX_Faathim_Crystal.fx

TicksToLingerAfterDeath    1    

TicksToFadeAwayAfterDeath   1     

End
