Version 2
RootMod _city_01_01_dummyobj 
End 

Def _ES_L1_3_Around_City_01_01 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_01_01/Mugging_Thugs_L1_3_V0.spawndef 0 
	Property CanSpawn2 SpawnDefs/City_01_01/Mugging_Thugs_L1_3_V1.spawndef 0 
	Property CanSpawn2 SpawnDefs/City_01_01/ShadyDeal_Thugs_L1_3_V0.spawndef 0 
	Property CanSpawn3 SpawnDefs/City_01_01/ShadyDeal_Thugs_L1_3_V1.spawndef 0 
End 

Def _ES_L1_3_Rooftop_City_01_01 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_01_01/ShadyDeal_Thugs_L1_3_V0.spawndef 0 
	Property CanSpawn2 SpawnDefs/City_01_01/ShadyDeal_Thugs_L1_3_V1.spawndef 0 
End 

Def _ES_L4_7_Around_City_01_01 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_01_01/Mugging_Thugs_L4_7_V0.spawndef 0 
	Property CanSpawn2 SpawnDefs/City_01_01/Mugging_Thugs_L4_7_V1.spawndef 0 
	Property CanSpawn2 SpawnDefs/City_01_01/ShadyDeal_Thugs_L4_7_V0.spawndef 0 
	Property CanSpawn3 SpawnDefs/City_01_01/ShadyDeal_Thugs_L4_7_V1.spawndef 0 
