//
// MAKE SURE YOU RUN   scripts\xlatePlayer_Created.bat before you check in.
//
// This is the list of all existing contacts in for Mission Architect. Make sure when you add new contacts that you add it to as many different lists as possible.
// You must add the translation name of the npc in this file so that it can be localized on the client. You only need to add the localization in the All category.

Category "P55916349"
	Contact Abyss						"P2762006528"
	Contact Activist_UniversityCap				"P3581008332"
	Contact Admissions_Lenk					"P1362409792"
	Contact Agent_G						"P3457078849"
	Contact Agent_Six					"P918943512"
	Contact Agent_Wallace					"P247365703"
	Contact Akiro_Musashi					"P3256819266"
	Contact Alan_Desslock					"P2145705610"
	Contact Alexander					"P1278515593"
	Contact Alfonse_Rubel					"P3137988424"
	Contact Allison_King					"P1046715422"
	Contact Amanda_Loomis					"P1746154149"
	Contact Ambassador_KuhrRekt				"P1395642795"
	Contact Andre_Jimenez					"P469141146"
	Contact Andrea_Mitchell					"P2813084240"
	Contact Andrew_Fiore					"P2420612357"
	Contact Angel_Lopez					"P1513168792"
	Contact Angelo_Vendetti					"P3967935347"
	Contact Angus_McQueen					"P4184466549"
	Contact Annie_Coults					"P3073667697"
	Contact Ann-Marie_Engles				"P2873900559"
	Contact Anton_Sampson					"P1746675421"
	Contact Antonio_Nash					"P943755051"
	Contact Arachnos_Bloody_Bay_Liaison			"P3873679089"
	Contact Arachnos_Holiday_05_Franco			"P2487829309"
	Contact Arachnos_Holiday_05_Gruber			"P3156763243"
	Contact Arachnos_Holiday_05_Karl			"P2086595769"
	Contact Arachnos_Pilot					"P2733609663"
	Contact Arachnos_Warburg_Liaison			"P678745043"
	Contact Arbiter_Apolis					"P2460397218"
//	Contact Arbiter_Damico
	Contact Arbiter_Daos					"P1396339461"
	Contact Arbiter_Diaz					"P3128342423"
	Contact Arbiter_Frederick				"P3927018204"
	Contact Arbiter_Friesen					"P927756646"
	Contact Arbiter_Hayes					"P2868152035"
	Contact Arbiter_Howe					"P1706937535"
	Contact Arbiter_Leery					"P545030376"
	Contact Arbiter_Lupin					"P1080948913"
	Contact Arbiter_Orr					"P2285274893"
	Contact Arbiter_Rein					"P337451205"
	Contact Arbiter_Richard					"P2414010633"
	Contact Arbiter_Richardson				"P3878244053"
	Contact Arbiter_Unger					"P190348138"
	Contact Archmage_Tarixus				"P2374891464"
	Contact ArenaStore_01					"P2410780173"
	Contact ArenaStore_02					"P2410780173"
	Contact ArenaStore_03					"P2410780173"
	Contact ArenaStore_04					"P2410780173"
	Contact ArenaStore_05					"P2410780173"
	Contact ArenaStore_06					"P2410780173"
	Contact ArenaStore_07					"P2410780173"
	Contact ArenaStore_08					"P2410780173"
	Contact ArenaStore_09					"P2410780173"
	Contact Ashley_McKnight					"P1492814012"
	Contact Ashwin_Lannister				"P785040331"
	Contact Athena_Currie					"P1979533708"
	Contact Atlas_Newsie					"P4244257175"
	Contact AtlasPark_PortalRoom_SystemsGo			"P1333305217"
	Contact Aurora_Borealis					"P4008819986"
	Contact Azuria						"P1136324020"
	Contact Back_Alley_Brawler				"P3365661715"
	Contact Barry_Gosford					"P1555701210"
	Contact Basse_Croupier					"P3186584284"
	Contact Bastion						"P1542252812"
	Contact Betty_Abbot					"P596037881"
	Contact Billie_Heck					"P4137203786"
	Contact Black_Scorpion					"P1258505021"
	Contact BlackMarket_Mercy_Female			"P2990828093"
	Contact BlackMarket_Mercy_Male				"P3862699815"
	Contact BlackMarket_Sharkhead_Female			"P1705285506"
	Contact BlackMarket_Sharkhead_Male			"P3200069779"
	Contact BlackMarket_StMartial_Female			"P4016958241"
	Contact BlackMarket_StMartial_Male			"P2492694809"
	Contact Blake						"P1730490915"
	Contact Borea						"P4062079347"
	Contact Boris_the_Russian				"P3198085642"
	Contact Brick_Johnson					"P1499976146"
	Contact Buck_Salinger					"P554738325"
	Contact Cadao_Kestrel					"P1470177606"
	Contact Cain_Royce					"P3340783038"
	Contact Caitlin_Murray					"P1071727759"
	Contact Captain_Mako					"P2085354169"
	Contact Captain_Petrovich				"P637097891"
	Contact Carla_Brunelli					"P3437021089"
	Contact Carlos_Herrera					"P3109309479"
	Contact Castaway_Chuck					"P3200300130"
	Contact Caze						"P167284083"
	Contact Charles_Ball					"P3518426795"
	Contact Charlie_Sparks					"P698681837"
	Contact Cho_Ge						"P1218709581"
	Contact Christine_Lansdale				"P4143221868"
	Contact Cimerora_Antonia_Severa				"P223790347"
	Contact Cimerora_Atticus				"P1946863790"
	Contact Cimerora_Brutticus_Aurelius			"P2511026026"
	Contact Cimerora_Julia_Pria				"P1507263488"
	Contact Cimerora_Old_Woman				"P1738979848"
	Contact City_Representative				"P2401378727"
	Contact Claire_Childress				"P2035451211"
	Contact Clarence_Jackson				"P1325636427"
	Contact Colleen_Nelson					"P2453157790"
	Contact Colleen_Saramago				"P1884236707"
	Contact Collin_Larson					"P1037698486"
	Contact Colonel_Barry_Woodhouse				"P1856967987"
	Contact Corey_McCann					"P2608507749"
	Contact Counselor_Pires					"P2260830679"
	Contact Crash_Cage					"P2066073941"
	Contact Crimson						"P3990080396"
	Contact Crimson_Revenant				"P2407169152"
	Contact Daedalus					"P2292978780"
	Contact DannyLin					"P2734979719"
	Contact Dark_Watcher					"P3964152796"
	Contact Darla_Mavis					"P1324957723"
	Contact Darrin_Wade					"P3447991313"
	Contact David_Wincott					"P2609055116"
	Contact Dean_Yu						"P586689022"
	Contact Dennis_Ewell					"P2191467888"
	Contact Derek_Amberson					"P471862342"
	Contact Desdemona_the_Glint				"P3677268808"
	Contact Detective_Bauer					"P1926058998"
	Contact Detective_Bullitt				"P2914466648"
	Contact Detective_Calahan				"P1362936876"
	Contact Detective_Cooper				"P1812159189"
	Contact Detective_Davids				"P2664191281"
	Contact Detective_Deckard				"P1618376458"
	Contact Detective_Fish					"P1824792134"
	Contact Detective_Fraser				"P2196726173"
	Contact Detective_Friday				"P31164660"
	Contact Detective_Hooker				"P381150855"
	Contact Detective_Hutchinson				"P3869901588"
	Contact Detective_Magnum				"P3869408991"
	Contact Detective_Martins				"P2140246138"
	Contact Detective_McDallas				"P179535709"
	Contact Detective_McGarret				"P3344106494"
	Contact Detective_Miller				"P3737140223"
	Contact Detective_Murphy				"P1128786186"
	Contact Detective_Rico					"P327504100"
	Contact Detective_Rogers				"P156530335"
	Contact Detective_Serpico				"P4247552170"
	Contact Detective_Sonny					"P165751955"
	Contact Detective_Streebeck				"P1196315387"
	Contact Detective_Truman				"P2979472726"
	Contact Detective_Vecchio				"P108390529"
	Contact Detective_Wright				"P5993427"
	Contact Diviner_Maros					"P3553266623"
	Contact Dmitri_Krylov					"P616432490"
	Contact Doc_Buzzsaw					"P1791587215"
	Contact Doc_Delilah					"P1035024325"
	Contact Doctor_Creed					"P2881423985"
	Contact Doctor_Miller					"P223904666"
	Contact Dr_Boyd						"P2312233579"
	Contact Dr_Cheng					"P2488914387"
	Contact Dr_Forrester					"P1710823606"
	Contact Dr_Huxley					"P2246272756"
	Contact Dr_Quaterfield					"P85839316"
	Contact Dr_Scott_Wachhorst				"P819886757"
	Contact Dr_Shelly_Percey				"P1185848907"
	Contact Dr_Trevor_Seaborn				"P395938382"
	Contact Drea_the_Hook					"P200501809"
	Contact Eliza_Thorpe					"P181550111"
	Contact Ernesto_Hess					"P1941479167"	
	Contact Evan_DiTomasso					"P4291487572"
	Contact Event_Spring_06_DJ_Zero				"P1753352618"
	Contact Event_Spring_06_Hero_Contact			"P379494969"
	Contact Event_Spring_06_Hero_Vendor			"P1983808019"
	Contact Event_Spring_06_Villain_Contact			"P1610114027"
	Contact Event_Spring_06_Villain_Vendor			"P765651787"
	Contact Everett_Daniels					"P808408581"
//	Contact Faathim_The_Kind
	Contact FaceEmployee1					"P3194334145"
	Contact FaceEmployee2					"P1340235302"
	Contact FaceEmployee3					"P2638690040"
	Contact Fareed_Abdullah					"P1809610764"
	Contact Father_Time					"P1968778290"
	Contact Flux						"P3529547268"
	Contact Foreshadow					"P12289989"
	Contact Fortunata_Hamilton				"P4110191946"
	Contact FreedomCorp_City_01_01				"P1372710382"
	Contact FreedomCorp_City_01_01b				"P1372710382"
	Contact FreedomCorp_City_01_01c				"P1372710382"
	Contact FreedomCorp_City_01_03b				"P1372710382"
	Contact FreedomCorp_City_01_03c				"P1372710382"
	Contact FreedomCorp_City_02_01				"P3975473060"
	Contact FreedomCorp_City_02_01b				"P3975473060"
	Contact FreedomCorp_City_02_01c				"P3975473060"
	Contact FreedomCorp_City_02_02				"P3975473060"
	Contact FreedomCorp_City_02_02c				"P3975473060"
	Contact FreedomCorp_City_03_01				"P3011958443"
	Contact FreedomCorp_City_03_01c				"P3011958443"
	Contact FreedomCorp_Store_V_PvP_05_01			"P3917766304"
	Contact Gaussian					"P1715911877"
	Contact General_Hammond					"P4285651742"
	Contact Genevieve_Sanders				"P325463053"
	Contact Georgia_Fields					"P3256329122"
	Contact Ghost_Falcon					"P3573635087"
	Contact Ghost_Widow					"P1200458581"
	Contact Ginger_Yates					"P858570972"
	Contact Golden_Roller					"P3342758254"
	Contact Gordon_Bower					"P1821827617"
	Contact Gordon_Stacy					"P1865231681"
	Contact Gregor_Richardson				"P1375738180"
	Contact Guy_Denson					"P1497406555"
	Contact Haley_Philips					"P284059880"
	Contact Hard_Luck					"P2702801748"
	Contact Hardcase					"P3247405631"
	Contact Harvey_Maylor					"P1883418727"
	Contact Henri_Dumont					"P4268824461"
	Contact Henry_Peter_Wong				"P2253966029"
	Contact Hinckley_Rasmussen				"P989548293"
	Contact Hiro_Takashi					"P1485111137"
	Contact Holsten_Armitage				"P1237477603"
	Contact HT						"P3369385554"
	Contact Hugo_Redding					"P3497221929"
	Contact Ian_the_Shark					"P3025822895"
	Contact Ice_Mistral					"P743416604"
	Contact IconEmployee_City_02_01a			"P630751033"
	Contact IconEmployee_City_02_01b			"P630751033"
	Contact IconEmployee_City_02_01c			"P2630178825"
	Contact IconEmployee_City_03_02d			"P630751033"
	Contact IconEmployee_City_03_02e			"P630751033"
	Contact IconEmployee_City_03_02f			"P2630178825"
	Contact IconEmployee_City_04_01g			"P630751033"
	Contact IconEmployee_City_04_01h			"P630751033"
	Contact IconEmployee_City_04_01i			"P2630178825"
	Contact IconEmployee1					"P3248642081"
	Contact IconEmployee2					"P3291743060"
	Contact IconEmployee3					"P714082430"
