Texture X_CT_Building_Win_01
	Base1 Bld_Sky_UNWindow01_d //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_SkyScrapers\Bld_Sky_UNWindow01_d.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //_texture_library\World\Filler\white.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 Bld_Sky_UNWindow01_dc //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_SkyScrapers\Bld_Sky_UNWindow01_dc.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 Bld_Sky_UNWindow01_ns //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_SkyScrapers\Bld_Sky_UNWindow01_ns.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 Bld_OFC_Modern_MidRise_WindowLight_01_D //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowLight_01_D.tga
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  0.1250 0.125
	AddGlowMat2  1 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask Bld_Sky_UNWindow01_m //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_SkyScrapers\Bld_Sky_UNWindow01_m.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // 1 1
	MaskWeight  0.4
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 Bld_OFC_Modern_MidRise_WindowVariation_05_D //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowVariation_05_D.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  0.25 0.06125

	Multiply2 reflect_general02 //Texture_Library\WORLD\Filler\reflect_general02.tga
