##CoV V_Sewers Material Swaps##

Texture x_v_sewer_walls
	Base1 v_sewer_wall_01.tga
	Base1Scroll 0 0
	Base1Scale 1 1

	Multiply1 v_sewer_walls_det.tga
	Multiply1Scroll 0 0
	Multiply1Scale 10 10            

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1Scale 1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType Normal
	AddGlow1Scale 1 1

	BumpMap1 v_sewer_wall_02_bump.tga
	BumpMap1Scroll 0 0
	BumpMap1Scale 1 1

	Mask none
	MaskScroll 0 0
	MaskScale 1 1
	#AlphaMask	// Use the ALPHA channel of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2Scale 1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2Scale 2.3 2.3
	Multiply2reflect 1 

	DualColor2 none 
	Color3 0 0 0
	Color4 0 0 0
	DualColor2Scroll 0 0
	DualColor2Scale 1 1


	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2Scale 1 1

	SpecularColor1 139 103 39
	SpecularColor2 0 0 0  // BLACK means inherit color from SpecularColor1
	SpecularExponent 30

	DiffuseScale 2
	AmbientScale 2

	Flags None // NoRandomAddGlow FullBright
	MinAddGlow 1 
	MaxAddGlow 155

End

Texture x_v_sewer_roof_walls
	Base1 v_sewer_roof2_tile_fill_long.tga
	Base1Scroll 0 0
	Base1Scale 1 1

	Multiply1 v_sewer_walls_det.tga
	Multiply1Scroll 0 0
	Multiply1Scale 10 10            

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1Scale 1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType Normal
	AddGlow1Scale 1 1

	BumpMap1 v_sewer_roof2_tile_fill_long_bump.tga
	BumpMap1Scroll 0 0
	BumpMap1Scale 1 1

	Mask none
	MaskScroll 0 0
	MaskScale 1 1
	#AlphaMask	// Use the ALPHA channel of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2Scale 1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2Scale 2.3 2.3
	Multiply2reflect 1 

	DualColor2 none 
	Color3 0 0 0
	Color4 0 0 0
	DualColor2Scroll 0 0
	DualColor2Scale 1 1


	BumpMap2 none
	BumpMap2Scroll 0 0
