Texture X_Hips_Bronze_Skin_Bare_01
	Base1 Hips_Bronze_Skin_Bare_01_B //Texture_Library\N_ENEMIES\N_Pandora_01\Hips_Bronze_Skin_Bare_01_B.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //Texture_Library\FX\Shaders\shader_reflect_window_07.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 0.25 0.5
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none //
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 Hips_Bronze_Skin_Bare_01_NM //Texture_Library\N_ENEMIES\N_Pandora_01\Hips_Bronze_Skin_Bare_01_NM.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  1 1 // 1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask black //Texture_Library\WORLD\Filler\black.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // 1 1
	MaskWeight  0.6
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 Hips_Bronze_Skin_Bare_01_B //Texture_Library\N_ENEMIES\N_Pandora_01\Hips_Bronze_Skin_Bare_01_B.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  1 1 // 1 1

	Multiply2 shader_reflect_window_07 //Texture_Library\FX\Shaders\shader_reflect_window_07.tga
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  0.25 0.6
	Multiply2Reflect 1 // Optional flag indicating this is a spheremap

	DualColor2 none //
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 Hips_Bronze_Skin_Bare_01_NM //Texture_Library\N_ENEMIES\N_Pandora_01\Hips_Bronze_Skin_Bare_01_NM.tga
	BumpMap2Scroll 0 0 // 0 0
